,num_vids,min_views_overall,max_views_overall,mean_views_overall,median_views_overall,min_views_last10,max_views_last10,mean_views_last10,median_views_last10,min_views_last25,max_views_last25,mean_views_last25,median_views_last25,min_views_last50,max_views_last50,mean_views_last50,median_views_last50,profile
0,52,91,524,211.21153846153845,200.0,96,429,225.2,210.5,96,524,227.36,220.0,91,524,208.74,185.5,https://www.tiktok.com/@shumi.kazi
0,58,269.0,30000.0,2817.706896551724,971.5,269,1949,794.0,675.5,269,9855,1300.56,961.0,269.0,20900.0,1934.52,971.5,https://www.tiktok.com/@nicolecrossmusic
0,59,10,1120,178.10169491525423,94.0,10,756,161.4,93.0,10,756,177.36,99.0,10,1120,184.06,94.5,https://www.tiktok.com/@black_pink_uniter
0,66,7,609,168.33333333333334,127.5,21,202,119.1,132.0,19,498,165.52,156.0,7,545,147.94,115.5,https://www.tiktok.com/@alealoha10
0,63,72.0,167200.0,5666.079365079365,521.0,854,6169,3568.9,3352.0,279.0,167200.0,8871.24,2426.0,72.0,167200.0,5997.5,533.0,https://www.tiktok.com/@liltayofficial
0,57,59.0,20200.0,1169.7543859649122,260.0,76,610,252.1,192.0,76,2489,359.04,195.0,59,9808,604.02,250.5,https://www.tiktok.com/@diamondcrustshine
0,74,64.0,63800.0,3032.310810810811,322.5,142,1010,435.5,366.5,64,1010,351.92,199.0,64.0,63800.0,4239.66,327.0,https://www.tiktok.com/@magnoliasky.cos
0,55,69.0,446600.0,10814.436363636363,560.0,69,2293,653.2,434.5,69,3218,652.4,353.0,69.0,446600.0,11434.66,576.0,https://www.tiktok.com/@greydon.c
0,43,84.0,867700.0,20911.279069767443,262.0,86,1842,477.7,220.5,86,1842,420.04,230.0,84.0,867700.0,20911.279069767443,262.0,https://www.tiktok.com/@josh.hickman
0,60,24,1207,183.05,145.0,62,191,126.4,131.0,59,372,162.48,156.0,24,622,164.86,149.5,https://www.tiktok.com/@banjo757
0,38,314.0,291500.0,11750.736842105263,2653.0,314,3480,1669.6,1512.5,314.0,23300.0,3272.64,2626.0,314.0,291500.0,11750.736842105263,2653.0,https://www.tiktok.com/@villelobos
0,58,199.0,32800.0,2531.655172413793,962.5,540,7980,1830.0,969.0,199.0,32800.0,3434.36,1211.0,199.0,32800.0,2725.18,919.5,https://www.tiktok.com/@sckachi
0,58,181.0,189600.0,8956.534482758621,2874.0,308.0,24100.0,3013.8,527.0,181.0,189600.0,12946.68,3520.0,181.0,189600.0,9592.74,2334.5,https://www.tiktok.com/@thecorpsdancecrew
0,4,116,174,147.25,149.5,116,174,147.25,149.5,116,174,147.25,149.5,116,174,147.25,149.5,https://www.tiktok.com/@yourbabytee_
0,59,327.0,99200.0,6281.627118644068,1064.0,327,1473,974.1,1150.0,327.0,94700.0,7590.24,1181.0,327.0,99200.0,7198.22,1145.0,https://www.tiktok.com/@poopdealer69
0,56,81,1679,328.6607142857143,278.0,81,560,217.5,193.5,81,901,289.52,267.0,81,1679,334.28,279.0,https://www.tiktok.com/@nothinbutethan
0,60,81.0,305200.0,8286.933333333332,294.5,84.0,12700.0,1546.7,232.5,81.0,12700.0,702.76,136.0,81.0,305200.0,9674.6,257.5,https://www.tiktok.com/@henry.nathan
0,60,626.0,119000.0,6414.5,1773.5,962.0,27800.0,5352.6,1834.0,626.0,27800.0,4021.72,1876.0,626.0,119000.0,7380.56,1773.5,https://www.tiktok.com/@tokatadair
0,60,18,9435,1931.2166666666667,1025.5,18,360,117.5,104.5,18,9435,1688.56,523.0,18,9435,2016.12,1082.5,https://www.tiktok.com/@egoispati2
0,50,40.0,89100.0,3657.24,243.0,40,1818,503.3,228.5,40.0,56700.0,2671.12,300.0,40.0,89100.0,3657.24,243.0,https://www.tiktok.com/@souhir.fr
0,60,5.0,15300.0,571.4833333333333,246.5,5,720,180.6,108.5,5,1219,227.8,156.0,5.0,15300.0,575.98,225.5,https://www.tiktok.com/@video_production_school
0,53,33,275,80.22641509433963,67.0,39,237,85.2,63.0,39,237,76.88,64.0,33,275,78.38,65.0,https://www.tiktok.com/@pantlaxmi
0,4,3981.0,424700.0,109435.25,4530.0,3981.0,424700.0,109435.25,4530.0,3981.0,424700.0,109435.25,4530.0,3981.0,424700.0,109435.25,4530.0,https://www.tiktok.com/@elcartel8
0,49,207.0,156800.0,6213.142857142857,1044.0,207,3755,1666.8,1210.5,207,38000,2913.56,1141.0,207.0,156800.0,6213.142857142857,1044.0,https://www.tiktok.com/@pcelliott8
0,60,95,8275,544.5,350.5,95,971,359.8,294.5,95,1068,386.6,297.0,95,8275,548.4,341.5,https://www.tiktok.com/@sketchbyrico
